,Date,Monthly_MSL
344,1975-05-01,6.992
345,1975-06-01,7.009
346,1975-07-01,7.033
347,1975-08-01,7.019
348,1975-09-01,6.978
349,1975-10-01,7.025
350,1975-11-01,6.966
351,1975-12-01,6.999
352,1976-01-01,7.011
353,1976-02-01,7.017
354,1976-03-01,7.177
355,1976-04-01,7.048
356,1976-05-01,7.052
357,1976-06-01,7.099
358,1976-07-01,7.063
359,1976-08-01,6.989
360,1976-09-01,7.028
361,1976-10-01,6.995
362,1976-11-01,7.056
363,1976-12-01,7.009
364,1977-01-01,7.031
365,1977-02-01,7.007
366,1977-03-01,7.017
367,1977-04-01,7.008
368,1977-05-01,7.052
369,1977-06-01,7.029
370,1977-07-01,7.043
371,1977-08-01,7.009
372,1977-11-01,7.046
373,1977-12-01,7.009
374,1978-01-01,7.021
375,1978-02-01,7.007
376,1978-03-01,6.947
377,1978-04-01,6.998
378,1978-05-01,6.992
379,1978-06-01,7.009
380,1978-07-01,7.033
381,1978-08-01,7.049
382,1978-09-01,7.018
383,1979-06-01,6.959
384,1979-07-01,7.033
385,1979-08-01,7.039
386,1979-09-01,7.058
387,1979-10-01,7.045
388,1979-11-01,7.026
389,1979-12-01,7.049
390,1980-01-01,7.041
391,1980-02-01,7.057
392,1980-03-01,7.027
393,1980-04-01,7.018
394,1980-05-01,7.052
395,1980-06-01,7.019
396,1980-07-01,7.043
397,1980-08-01,6.999
398,1980-09-01,7.078
399,1981-01-01,7.031
400,1981-02-01,7.027
401,1981-03-01,7.007
402,1981-04-01,7.108
403,1981-05-01,7.062
404,1981-06-01,7.039
405,1981-07-01,7.023
406,1981-08-01,7.059
407,1981-09-01,6.998
408,1981-10-01,7.075
409,1981-11-01,7.016
410,1981-12-01,7.029
411,1982-09-01,7.118
412,1982-10-01,7.155
413,1982-11-01,7.126
414,1982-12-01,7.189
415,1983-01-01,7.321
416,1983-02-01,7.167
417,1983-03-01,7.117
418,1983-04-01,7.178
419,1983-05-01,7.152
420,1983-06-01,7.129
421,1983-07-01,7.113
422,1983-08-01,7.089
423,1983-09-01,7.018
424,1983-10-01,7.015
425,1983-11-01,7.036
426,1983-12-01,7.039
427,1984-01-01,7.031
428,1984-02-01,7.067
429,1984-03-01,7.037
430,1984-06-01,7.059
431,1984-07-01,7.053
432,1984-08-01,7.059
433,1984-09-01,7.038
434,1984-10-01,7.105
435,1984-11-01,7.006
436,1984-12-01,7.099
437,1985-01-01,7.001
438,1985-02-01,7.037
439,1985-03-01,7.087
440,1985-04-01,7.048
441,1985-05-01,7.062
442,1985-06-01,7.039
443,1985-07-01,7.053
444,1985-08-01,7.029
445,1985-09-01,7.048
446,1985-10-01,7.005
447,1985-11-01,6.976
448,1985-12-01,6.959
449,1986-01-01,7.021
450,1986-02-01,6.997
451,1986-03-01,6.997
452,1986-04-01,7.018
453,1986-05-01,7.052
454,1986-06-01,7.069
455,1986-07-01,7.043
456,1986-08-01,7.019
457,1986-09-01,7.058
458,1986-10-01,7.055
459,1986-11-01,7.076
460,1986-12-01,7.009
461,1987-01-01,7.091
462,1987-02-01,7.107
463,1987-03-01,6.997
464,1987-04-01,6.948
465,1987-05-01,6.892
466,1987-06-01,7.009
467,1987-07-01,7.043
468,1987-08-01,7.039
469,1987-09-01,7.028
470,1987-10-01,6.965
471,1987-11-01,6.996
472,1987-12-01,6.989
473,1988-01-01,6.971
474,1988-02-01,6.997
475,1988-03-01,6.987
476,1988-04-01,6.978
477,1988-05-01,6.922
478,1988-06-01,6.949
479,1988-07-01,6.923
480,1988-08-01,6.969
481,1988-09-01,6.938
482,1988-10-01,6.955
483,1989-01-01,6.981
484,1989-02-01,7.047
485,1989-03-01,7.027
486,1989-04-01,7.038
487,1989-05-01,7.022
488,1989-06-01,7.049
489,1989-07-01,7.003
490,1989-08-01,6.989
491,1989-09-01,6.948
492,1989-10-01,6.965
493,1989-11-01,7.006
494,1989-12-01,7.019
495,1990-01-01,7.011
496,1990-02-01,6.957
497,1990-03-01,7.017
498,1990-04-01,7.058
499,1990-05-01,7.012
500,1990-06-01,6.969
501,1990-07-01,6.963
502,1990-08-01,6.989
503,1990-09-01,7.118
504,1990-10-01,7.075
505,1990-11-01,7.006
506,1990-12-01,6.989
