,Date,Monthly_MSL
331,1940-09-01,-0.104
332,1940-10-01,-0.11
333,1940-11-01,-0.191
334,1940-12-01,-0.123
335,1941-01-01,-0.072
336,1941-02-01,-0.068
337,1941-03-01,-0.169
338,1941-04-01,-0.12
339,1941-05-01,-0.114
340,1941-06-01,-0.164
341,1941-07-01,-0.178
342,1941-08-01,-0.171
343,1941-09-01,-0.107
344,1941-10-01,-0.198
345,1941-11-01,-0.145
346,1941-12-01,-0.117
347,1942-01-01,-0.112
348,1942-02-01,-0.086
349,1942-03-01,-0.135
350,1942-04-01,-0.081
351,1942-05-01,-0.111
352,1942-06-01,-0.075
353,1942-07-01,-0.056
354,1942-08-01,-0.11
355,1942-09-01,-0.098
356,1942-10-01,-0.049
357,1942-11-01,-0.041
358,1942-12-01,-0.123
359,1943-01-01,-0.133
360,1943-02-01,-0.12
361,1943-03-01,-0.053
362,1943-04-01,-0.053
363,1943-05-01,-0.083
364,1943-06-01,-0.081
365,1943-07-01,-0.15
366,1943-08-01,-0.107
367,1943-09-01,-0.04
368,1943-10-01,-0.049
369,1943-11-01,-0.139
370,1943-12-01,-0.117
371,1944-01-01,-0.124
372,1944-02-01,-0.132
373,1944-03-01,-0.086
374,1944-04-01,-0.087
375,1944-05-01,-0.093
376,1944-06-01,-0.072
377,1944-07-01,-0.083
378,1944-08-01,-0.101
379,1944-09-01,-0.089
380,1944-10-01,-0.055
381,1944-11-01,-0.078
382,1944-12-01,-0.15
383,1945-01-01,-0.118
384,1945-02-01,-0.193
385,1945-03-01,-0.147
386,1945-04-01,-0.078
387,1945-05-01,-0.087
388,1945-06-01,-0.078
389,1945-07-01,-0.089
390,1945-08-01,-0.083
391,1945-09-01,-0.116
392,1945-10-01,-0.134
393,1945-11-01,-0.169
394,1945-12-01,-0.138
395,1946-01-01,-0.139
396,1946-02-01,-0.111
397,1946-03-01,-0.102
398,1946-04-01,-0.069
399,1946-05-01,-0.129
400,1946-06-01,-0.13
401,1946-07-01,-0.096
402,1946-08-01,-0.061
403,1946-09-01,-0.052
404,1946-10-01,-0.052
405,1946-11-01,-0.02
406,1946-12-01,0.057
407,1947-01-01,-0.035
408,1947-02-01,-0.035
409,1947-03-01,-0.077
410,1947-04-01,-0.105
411,1947-05-01,-0.032
412,1947-06-01,0.004
413,1947-07-01,-0.08
414,1947-08-01,-0.116
415,1947-09-01,-0.104
416,1947-10-01,-0.045
417,1947-11-01,0.044
418,1947-12-01,0.042
419,1948-01-01,-0.026
420,1948-02-01,-0.013
421,1948-03-01,0.02
422,1948-04-01,-0.005
423,1948-05-01,-0.001
424,1948-06-01,-0.02
425,1948-07-01,0.005
426,1948-08-01,-0.049
427,1948-09-01,-0.031
428,1948-10-01,-0.006
429,1948-11-01,-0.06
430,1948-12-01,-0.05
431,1949-01-01,-0.096
432,1949-02-01,-0.105
433,1949-03-01,-0.095
434,1949-04-01,-0.102
435,1949-05-01,-0.08
436,1949-06-01,-0.097
437,1949-07-01,-0.035
438,1949-08-01,-0.083
439,1949-09-01,-0.08
440,1949-10-01,-0.012
441,1949-11-01,-0.13
442,1949-12-01,-0.108
443,1950-01-01,-0.048
444,1950-02-01,-0.05
445,1950-03-01,-0.083
446,1950-04-01,-0.035
447,1950-05-01,-0.108
448,1950-06-01,-0.145
449,1950-07-01,-0.12
450,1950-08-01,-0.049
451,1950-09-01,-0.077
452,1950-10-01,-0.088
453,1950-11-01,-0.154
454,1950-12-01,-0.126
455,1951-01-01,-0.115
456,1951-02-01,-0.105
457,1951-03-01,-0.098
458,1951-04-01,-0.075
459,1951-05-01,-0.117
460,1951-06-01,-0.115
461,1951-07-01,-0.099
462,1951-08-01,-0.101
463,1951-09-01,-0.122
464,1951-10-01,-0.058
465,1951-11-01,-0.099
466,1951-12-01,-0.096
467,1952-01-01,-0.09
468,1952-02-01,-0.071
469,1952-03-01,-0.05
470,1952-04-01,-0.105
471,1952-05-01,-0.053
472,1952-06-01,-0.106
473,1952-07-01,-0.074
474,1952-08-01,-0.086
475,1952-09-01,-0.064
476,1952-10-01,-0.094
477,1952-11-01,-0.127
478,1952-12-01,-0.038
479,1953-09-01,-0.074
480,1953-10-01,-0.076
481,1953-11-01,-0.09
482,1953-12-01,-0.099
483,1954-01-01,-0.096
484,1954-02-01,-0.077
485,1954-03-01,-0.098
486,1954-04-01,-0.053
487,1954-05-01,-0.019
488,1954-06-01,-0.06
489,1954-07-01,-0.096
490,1954-08-01,-0.138
491,1954-09-01,-0.07
492,1954-10-01,-0.128
493,1954-11-01,-0.105
494,1954-12-01,-0.147
495,1955-01-01,-0.06
496,1955-02-01,-0.05
497,1955-03-01,-0.132
498,1955-04-01,-0.13
499,1955-05-01,-0.056
500,1955-06-01,-0.054
501,1955-07-01,-0.041
502,1955-08-01,-0.058
503,1955-09-01,-0.052
504,1955-10-01,-0.079
505,1955-11-01,-0.166
506,1955-12-01,-0.163
507,1956-01-01,-0.075
508,1956-02-01,-0.096
509,1956-03-01,-0.102
510,1956-04-01,-0.099
511,1956-05-01,-0.09
512,1956-06-01,-0.048
513,1956-07-01,-0.096
514,1956-08-01,-0.077
515,1956-09-01,-0.089
516,1956-10-01,-0.082
517,1956-11-01,-0.044
518,1956-12-01,-0.178
519,1957-01-01,-0.176
520,1957-02-01,-0.056
521,1957-03-01,-0.071
522,1957-04-01,-0.087
523,1957-05-01,-0.029
524,1957-06-01,-0.066
525,1957-07-01,-0.041
526,1957-08-01,-0.013
527,1957-09-01,-0.092
528,1957-10-01,-0.012
529,1957-11-01,-0.053
530,1957-12-01,-0.086
531,1958-01-01,-0.048
532,1958-02-01,-0.181
533,1958-03-01,-0.092
534,1958-04-01,-0.102
535,1958-05-01,-0.117
536,1958-06-01,-0.051
537,1958-07-01,-0.089
538,1958-08-01,-0.107
539,1958-09-01,-0.049
540,1958-10-01,0.006
541,1958-11-01,-0.081
542,1958-12-01,-0.05
543,1959-01-01,-0.057
544,1959-02-01,-0.108
545,1959-03-01,-0.092
546,1959-04-01,-0.087
547,1959-05-01,-0.05
548,1959-06-01,-0.039
549,1959-07-01,-0.068
550,1959-08-01,-0.11
551,1959-09-01,-0.116
552,1959-10-01,-0.091
553,1959-11-01,-0.038
554,1959-12-01,-0.041
555,1960-01-01,-0.023
556,1960-02-01,-0.059
557,1960-03-01,-0.089
558,1960-04-01,-0.078
559,1960-05-01,-0.071
560,1960-06-01,-0.011
561,1960-07-01,-0.013
562,1960-08-01,-0.037
563,1960-09-01,-0.086
564,1960-10-01,-0.064
565,1960-11-01,-0.087
566,1960-12-01,-0.071
567,1961-01-01,-0.121
568,1961-02-01,-0.041
569,1961-03-01,0.02
570,1961-04-01,-0.029
571,1961-05-01,-0.074
572,1961-06-01,-0.081
573,1961-07-01,-0.086
574,1961-08-01,-0.122
575,1961-09-01,-0.15
576,1961-10-01,-0.064
577,1961-11-01,-0.035
578,1961-12-01,-0.059
579,1962-01-01,-0.109
580,1962-02-01,-0.077
581,1962-03-01,0.057
582,1962-04-01,-0.117
583,1962-05-01,-0.038
584,1962-06-01,-0.057
585,1962-07-01,-0.044
586,1962-08-01,-0.025
587,1962-09-01,-0.058
588,1962-10-01,-0.079
589,1962-11-01,-0.09
590,1962-12-01,-0.041
591,1963-01-01,-0.041
592,1963-02-01,-0.123
593,1963-03-01,-0.126
594,1963-04-01,-0.12
595,1963-05-01,-0.087
596,1963-06-01,-0.151
597,1963-07-01,-0.056
598,1963-08-01,-0.095
599,1963-09-01,-0.04
600,1963-10-01,-0.03
601,1963-11-01,-0.078
602,1963-12-01,-0.153
603,1964-01-01,-0.176
604,1964-02-01,-0.184
605,1964-03-01,-0.15
606,1964-04-01,-0.139
607,1964-05-01,-0.077
608,1964-06-01,-0.103
609,1964-07-01,-0.141
610,1964-08-01,-0.134
611,1964-09-01,-0.119
612,1964-10-01,-0.161
613,1964-11-01,-0.13
614,1964-12-01,-0.123
615,1965-01-01,-0.075
616,1965-02-01,-0.062
617,1965-03-01,-0.132
618,1965-04-01,-0.087
619,1965-05-01,-0.111
620,1965-06-01,-0.118
621,1965-07-01,-0.108
622,1965-08-01,-0.074
623,1965-09-01,-0.049
624,1965-10-01,-0.192
625,1965-11-01,-0.057
626,1965-12-01,-0.071
627,1966-01-01,0.016
628,1966-02-01,-0.05
629,1966-03-01,-0.059
630,1966-04-01,-0.053
631,1966-05-01,-0.044
632,1966-06-01,-0.1
633,1966-07-01,-0.056
634,1966-08-01,-0.086
635,1966-09-01,-0.101
636,1966-10-01,-0.131
637,1966-11-01,-0.078
638,1966-12-01,-0.068
639,1967-01-01,-0.072
640,1967-02-01,-0.102
641,1967-03-01,-0.077
642,1967-04-01,-0.035
643,1967-05-01,-0.099
644,1967-06-01,-0.005
645,1967-07-01,-0.044
646,1967-08-01,-0.04
647,1967-09-01,-0.098
648,1967-10-01,-0.097
649,1967-11-01,-0.084
650,1967-12-01,-0.025
651,1968-01-01,-0.054
652,1968-02-01,-0.035
653,1968-03-01,-0.068
654,1968-04-01,-0.066
655,1968-05-01,-0.132
656,1968-06-01,-0.148
657,1968-07-01,-0.092
658,1968-08-01,-0.101
659,1968-09-01,-0.104
660,1968-10-01,-0.131
661,1968-11-01,-0.157
662,1968-12-01,-0.117
663,1969-01-01,-0.041
664,1969-02-01,-0.062
665,1969-03-01,-0.077
666,1969-04-01,-0.096
667,1969-05-01,-0.117
668,1969-06-01,-0.091
669,1969-07-01,-0.077
670,1969-08-01,-0.043
671,1969-09-01,-0.116
672,1969-10-01,-0.07
673,1969-11-01,-0.069
674,1969-12-01,-0.032
675,1970-01-01,-0.105
676,1970-02-01,-0.123
677,1970-03-01,-0.086
678,1970-04-01,-0.111
679,1970-05-01,-0.068
680,1970-06-01,-0.063
681,1970-07-01,-0.105
682,1970-08-01,0.018
683,1970-09-01,-0.07
684,1970-10-01,-0.045
685,1970-11-01,-0.069
686,1970-12-01,-0.062
687,1971-01-01,-0.09
688,1971-02-01,-0.016
689,1971-03-01,-0.056
690,1971-04-01,-0.111
691,1971-05-01,-0.154
692,1971-06-01,-0.124
693,1971-07-01,-0.056
694,1971-08-01,-0.092
695,1971-09-01,-0.116
696,1971-10-01,-0.045
697,1971-11-01,0.047
698,1971-12-01,0.005
699,1972-01-01,0.035
700,1972-02-01,-0.013
701,1972-03-01,-0.022
702,1972-04-01,-0.05
703,1972-05-01,0.008
704,1972-06-01,-0.002
705,1972-07-01,-0.059
706,1972-08-01,-0.089
707,1972-09-01,-0.04
708,1972-10-01,-0.061
709,1972-11-01,-0.063
710,1972-12-01,-0.035
711,1973-01-01,0.068
712,1973-02-01,0.06
713,1973-03-01,0.084
714,1973-04-01,0.044
715,1973-05-01,-0.044
716,1973-06-01,-0.091
717,1973-07-01,-0.025
718,1973-08-01,0.024
719,1973-09-01,-0.031
720,1973-10-01,0.037
721,1973-11-01,-0.017
722,1973-12-01,-0.029
723,1974-01-01,-0.048
724,1974-02-01,-0.019
725,1974-03-01,-0.044
726,1974-04-01,-0.044
727,1974-05-01,-0.035
728,1974-06-01,0.01
729,1974-07-01,-0.025
730,1974-08-01,-0.049
