Date,Monthly_MSL
1927-11-01,7.211
1927-12-01,6.84
1928-01-01,7.021
1928-02-01,7.159
1928-03-01,6.833
1928-04-01,6.968
1928-05-01,7.042
1928-06-01,7.254
1928-07-01,7.328
1928-08-01,7.302
1928-09-01,7.187
1928-10-01,7.174
1928-11-01,7.165
1928-12-01,7.153
1929-01-01,6.955
1929-02-01,6.71
1929-03-01,6.983
1929-04-01,7.131
1929-05-01,7.16
1929-06-01,7.205
1929-07-01,7.205
1929-08-01,7.116
1929-09-01,7.169
1929-10-01,7.286
1929-11-01,7.177
1929-12-01,7.146
1930-01-01,7.186
1930-02-01,6.981
1930-03-01,7.061
1930-04-01,6.965
1930-05-01,7.021
1930-06-01,7.023
1930-07-01,7.126
1930-08-01,7.218
1930-09-01,6.948
1930-10-01,7.106
1930-11-01,7.429
1930-12-01,7.066
1931-01-01,7.113
1931-02-01,6.919
1931-03-01,7.055
1931-04-01,7.048
1931-05-01,7.058
1931-06-01,7.132
1931-07-01,7.2
1931-08-01,7.11
1931-09-01,7.137
1931-10-01,7.215
1931-11-01,7.093
1931-12-01,7.068
1932-01-01,7.312
1932-02-01,7.223
1932-03-01,7.06
1932-04-01,7.143
1932-05-01,7.093
1932-06-01,7.098
1932-07-01,7.07
1932-08-01,7.125
1932-09-01,7.181
1932-10-01,7.263
1932-11-01,7.056
1932-12-01,7.073
1933-01-01,6.955
1933-02-01,7.118
1933-03-01,6.984
1933-04-01,7.244
1933-05-01,7.098
1933-06-01,6.964
1933-07-01,7.078
1933-08-01,7.232
1933-09-01,7.008
1933-10-01,6.951
1933-11-01,6.953
1933-12-01,6.807
1934-01-01,6.997
1934-02-01,7.261
1934-03-01,7.209
1934-04-01,6.834
1934-05-01,7.139
1934-06-01,7.161
1934-07-01,7.072
1934-08-01,7.149
1934-09-01,7.012
1934-10-01,7.277
1934-11-01,7.194
1934-12-01,6.995
1935-01-01,6.902
1935-02-01,7.253
1935-03-01,7.119
1935-04-01,7.214
1935-05-01,7.026
1935-06-01,7.073
1935-07-01,7.198
1935-08-01,7.168
1935-09-01,7.126
1935-10-01,7.326
1935-11-01,7.133
1935-12-01,7.101
1936-01-01,7.128
1936-02-01,7.009
1936-03-01,6.906
1936-04-01,7.1
1936-05-01,6.979
1936-06-01,7.021
1936-07-01,7.021
1936-08-01,7.094
1936-09-01,7.014
1936-10-01,7.093
1936-11-01,7.153
1936-12-01,7.19
1937-01-01,7.059
1937-02-01,6.84
1937-03-01,6.977
1937-04-01,6.941
1937-05-01,7.02
1937-06-01,7.042
1937-07-01,7.112
1937-08-01,7.025
1937-09-01,7.135
1937-10-01,6.984
1937-11-01,7.034
1937-12-01,6.891
1938-01-01,7.014
1938-02-01,7.235
1938-03-01,7.36
1938-04-01,7.466
1938-05-01,7.167
1938-06-01,7.172
1938-07-01,7.134
1938-08-01,6.943
1938-09-01,7.022
1938-10-01,7.16
1938-11-01,7.227
1938-12-01,6.937
1939-01-01,6.911
1939-02-01,7.204
1939-03-01,7.077
1939-04-01,7.08
1939-05-01,6.982
1939-06-01,7.081
1939-07-01,7.075
1939-08-01,6.959
1939-09-01,6.8
1939-10-01,6.748
1939-11-01,6.814
1939-12-01,6.988
1940-01-01,6.97
1940-02-01,6.743
1940-03-01,7.035
1940-04-01,6.978
1940-05-01,6.926
1940-06-01,6.974
1940-07-01,6.984
1940-08-01,7.191
1940-09-01,7.285
1940-10-01,7.009
1940-11-01,7.023
1940-12-01,7.079
1941-01-01,6.745
1941-02-01,6.773
1941-03-01,6.971
1941-04-01,6.893
1941-05-01,6.936
1941-06-01,6.945
1941-07-01,6.986
1941-08-01,7.066
1941-09-01,7.109
1941-10-01,6.971
1941-11-01,6.801
1941-12-01,7.049
1942-01-01,6.928
1942-02-01,6.746
1942-03-01,6.835
1942-04-01,6.937
1942-05-01,7.017
1942-06-01,7.107
1942-07-01,7.101
1942-08-01,6.98
1942-09-01,7.027
1942-10-01,7.219
1942-11-01,7.134
1942-12-01,7.188
1943-01-01,6.989
1943-02-01,7.287
1943-03-01,7.265
1943-04-01,7.355
1943-05-01,7.234
1943-06-01,7.108
1943-07-01,7.12
1943-08-01,7.196
1943-09-01,7.05
1943-10-01,7.109
1943-11-01,6.997
1943-12-01,7.005
1944-01-01,7.331
1944-02-01,7.28
1944-03-01,7.196
1944-04-01,7.038
1944-05-01,7.237
1944-06-01,7.104
1944-07-01,7.001
1944-08-01,6.923
1944-09-01,7.054
1944-10-01,6.994
1944-11-01,7.01
1944-12-01,7.008
1945-01-01,7.056
1945-02-01,7.004
1945-03-01,7.243
1945-04-01,7.286
1945-05-01,7.177
1945-06-01,7.186
1945-07-01,7.112
1945-08-01,7.093
1945-09-01,6.979
1945-10-01,7.075
1945-11-01,6.936
1945-12-01,7.033
1946-01-01,7.0
1946-02-01,7.212
1946-03-01,6.999
1946-04-01,7.25
1946-05-01,7.05
1946-06-01,7.111
1946-07-01,7.017
1946-08-01,7.102
1946-09-01,7.119
1946-10-01,6.974
1946-11-01,6.847
1946-12-01,6.781
1947-01-01,6.641
1947-02-01,6.548
1947-03-01,6.878
1947-04-01,7.152
1947-05-01,6.984
1947-06-01,6.991
1947-07-01,6.971
1947-08-01,6.904
1947-09-01,6.886
1947-10-01,7.079
1947-11-01,7.029
1947-12-01,7.017
1948-01-01,7.068
1948-02-01,6.968
1948-03-01,7.068
1948-04-01,7.071
1948-05-01,7.024
1948-06-01,7.057
1948-07-01,7.053
1948-08-01,7.059
1948-09-01,7.136
1948-10-01,7.284
1948-11-01,7.157
1948-12-01,7.077
1949-01-01,7.211
1949-02-01,7.274
1949-03-01,7.175
1949-04-01,7.134
1949-05-01,7.153
1949-06-01,7.164
1949-07-01,7.032
1949-08-01,7.187
1949-09-01,6.877
1949-10-01,6.994
1949-11-01,7.029
1949-12-01,7.209
1950-01-01,7.045
1950-02-01,6.99
1950-03-01,7.167
1950-04-01,7.198
1950-05-01,7.035
1950-06-01,7.119
1950-07-01,7.07
1950-08-01,6.937
1950-09-01,7.12
1950-10-01,7.275
1950-11-01,7.016
1950-12-01,7.048
1951-01-01,6.921
1951-02-01,6.717
1951-03-01,6.864
1951-04-01,7.104
1951-05-01,6.972
1951-06-01,6.909
1951-07-01,7.035
1951-08-01,6.943
1951-09-01,6.953
1951-10-01,6.777
1951-11-01,6.787
1951-12-01,7.313
1952-01-01,7.278
1952-02-01,7.175
1952-03-01,6.97
1952-04-01,6.965
1952-05-01,6.999
1952-06-01,7.213
1952-07-01,7.082
1952-08-01,6.993
1952-09-01,7.153
1952-10-01,7.135
1952-11-01,7.016
1952-12-01,6.976
1953-01-01,6.882
1953-02-01,7.109
1953-03-01,7.075
1953-04-01,7.138
1953-05-01,7.022
1953-06-01,6.986
1953-07-01,6.994
1953-08-01,7.171
1953-09-01,7.188
1953-10-01,7.051
1953-11-01,6.951
1953-12-01,6.996
1954-01-01,7.073
1954-02-01,6.645
1954-03-01,6.765
1954-04-01,6.953
1954-05-01,6.911
1954-06-01,6.878
1954-07-01,7.079
1954-08-01,7.062
1954-09-01,7.122
1954-10-01,7.222
1954-11-01,7.172
1954-12-01,7.087
1955-01-01,7.057
1955-02-01,7.045
1955-03-01,6.948
1955-04-01,7.017
1955-05-01,7.222
1955-06-01,7.018
1955-07-01,6.926
1955-08-01,6.873
1955-09-01,6.987
1955-10-01,7.123
1955-11-01,7.075
1955-12-01,7.254
1956-01-01,7.243
1956-02-01,6.852
1956-03-01,6.906
1956-04-01,6.937
1956-05-01,7.11
1956-06-01,7.03
1956-07-01,7.011
1956-08-01,7.134
1956-09-01,6.968
1956-10-01,7.142
1956-11-01,6.921
1956-12-01,7.075
1957-01-01,6.966
1957-02-01,7.126
1957-03-01,6.942
1957-04-01,6.919
1957-05-01,7.036
1957-06-01,7.003
1957-07-01,6.988
1957-08-01,7.037
1957-09-01,7.158
1957-10-01,7.236
1957-11-01,7.092
1957-12-01,7.049
1958-01-01,7.101
