Year, Month, Monthly_MSL
1947,10,6.831
1947,11,6.807
1947,12,6.767
1948,1,6.761
1948,2,6.764
1948,3,6.727
1948,4,6.731
1948,5,6.737
1948,6,6.758
1948,7,6.716
1948,8,6.760
1948,9,6.779
1948,10,6.742
1948,11,6.731
1948,12,6.742
1949,1,6.727
1949,2,6.745
1949,3,6.702
1949,4,6.704
1949,5,6.716
1949,6,6.743
1949,7,6.712
1949,8,6.690
1949,9,6.730
1949,10,6.791
1949,11,6.798
1949,12,6.800
1950,1,6.813
1950,2,6.840
1950,3,6.824
1950,4,6.847
1950,5,6.826
1950,6,6.853
1950,7,6.825
1950,8,6.790
1950,9,6.791
1950,10,6.785
1950,11,6.774
1950,12,6.721
1951,1,6.761
1951,2,6.800
1951,3,6.748
1951,4,6.756
1951,5,6.722
1951,6,6.716
1951,7,6.703
1951,8,6.748
1951,9,6.700
1951,10,6.724
1951,11,6.734
1951,12,6.761
1952,1,6.733
1952,2,6.770
1952,3,6.769
1952,4,6.789
1952,5,6.768
1952,6,6.798
1952,7,6.755
1952,8,6.775
1952,9,6.724
1952,10,6.746
1952,11,6.798
1952,12,6.776
1953,1,6.810
1953,2,6.837
1953,3,6.833
1953,4,6.826
1953,5,6.856
1953,6,6.835
1953,7,6.758
1953,8,6.809
1953,9,6.785
1953,10,6.764
1953,11,6.798
1953,12,6.815
1954,1,6.837
1954,2,6.828
1954,3,6.797
1954,4,6.783
1954,5,6.762
1954,6,6.749
1954,7,6.731
1954,8,6.784
1954,9,6.815
1954,10,6.828
1954,11,6.853
1954,12,6.782
1955,1,6.761
1955,2,6.803
1955,3,6.788
1955,4,6.783
1955,5,6.783
1955,6,6.746
1955,7,6.716
1955,8,6.732
1955,9,6.755
1955,10,6.810
1955,11,6.841
1955,12,6.788
1956,1,6.813
1956,2,6.825
1956,3,6.809
1956,4,6.869
1956,5,6.798
1956,6,6.774
1956,7,6.731
1956,8,6.732
1956,9,6.806
1956,10,6.770
1956,11,6.807
1956,12,6.788
1957,1,6.749
1957,2,6.761
1957,3,6.757
1957,4,6.744
1957,5,6.728
1957,6,6.755
1957,7,6.725
1957,8,6.754
1957,9,6.767
1957,10,6.672
1957,11,6.673
1957,12,6.700
1958,1,6.709
1958,2,6.724
1958,3,6.705
1958,4,6.695
1958,5,6.704
1958,6,6.722
1958,7,6.725
1958,8,6.662
1958,9,6.776
1958,10,6.712
1958,11,6.713
1958,12,6.703
1959,1,6.678
1959,2,6.727
1959,3,6.742
1959,4,6.722
1959,5,6.698
1959,6,6.716
1959,7,6.712
1959,8,6.745
1959,9,6.751
1959,10,6.855
1959,11,6.789
1959,12,6.776
1960,1,6.782
1960,2,6.788
1960,3,6.785
1960,4,6.805
1960,5,6.798
1960,6,6.835
1960,7,6.767
1960,8,6.897
1960,9,6.794
1960,10,6.813
1960,11,6.777
1960,12,6.812
1961,1,6.755
1961,2,6.761
1961,3,6.754
1961,4,6.765
1961,5,6.771
1961,6,6.761
1961,7,6.837
1961,8,6.812
1961,9,6.797
1961,10,6.755
1961,11,6.734
1961,12,6.785
1962,1,6.794
1962,2,6.736
1962,3,6.785
1962,4,6.811
1962,5,6.789
1962,6,6.774
1962,7,6.834
1962,8,6.796
1962,9,6.788
1962,10,6.794
1962,11,6.813
1962,12,6.806
1963,1,6.767
1963,2,6.761
1963,3,6.778
1963,4,6.756
1963,5,6.743
1963,6,6.810
1963,7,6.767
1963,8,6.699
1963,9,6.770
1963,10,6.730
1963,11,6.701
1963,12,6.748
1964,1,6.724
1964,2,6.718
1964,3,6.727
1964,4,6.728
1964,5,6.789
1964,6,6.749
1964,7,6.734
1964,8,6.824
1964,9,6.770
1964,10,6.822
1964,11,6.893
1964,12,6.861
1965,1,6.803
1965,2,6.800
1965,3,6.775
1965,4,6.789
1965,5,6.820
1965,6,6.825
1965,7,6.844
1965,8,6.711
1965,9,6.843
1965,10,6.706
1965,11,6.832
1965,12,6.800
1966,1,6.758
1966,2,6.794
1966,3,6.806
1966,4,6.814
1966,5,6.807
1966,6,6.792
1966,7,6.770
1966,8,6.784
1966,9,6.876
1966,10,6.825
1966,11,6.871
1966,12,6.925
1967,1,6.846
1967,2,6.831
1967,3,6.821
1967,4,6.850
1967,5,6.817
1967,6,6.896
1967,7,6.898
1967,8,6.863
1967,9,6.876
1967,10,6.889
1967,11,6.795
1967,12,6.779
1968,1,6.816
1968,2,6.840
1968,3,6.842
1968,4,6.802
1968,5,6.804
1968,6,6.810
1968,7,6.871
1968,8,6.876
1968,9,6.901
1968,10,6.846
1968,11,6.847
1968,12,6.840
1969,1,6.858
1969,2,6.864
1969,3,6.870
1969,4,6.859
1969,5,6.874
1969,6,6.868
1969,7,6.877
1969,8,6.851
1969,9,6.934
1969,10,6.910
1969,11,6.926
1969,12,6.928
1970,1,6.922
1970,2,6.919
1970,3,6.937
1970,4,6.920
1970,5,6.942
1970,6,6.963
1970,7,6.926
1970,8,6.928
1970,9,6.977
1970,10,7.026
1970,11,7.015
1970,12,7.026
1971,1,7.020
1971,2,7.029
1971,3,6.989
1971,4,6.975
1971,5,6.942
1971,6,6.932
1971,7,6.941
1971,8,6.921
1971,9,6.974
1971,10,7.066
1971,11,7.036
1971,12,7.047
1972,1,7.029
1972,2,7.050
1972,3,6.992
1972,4,7.006
1972,5,7.006
1972,6,6.996
1972,7,7.130
1972,8,7.031
1972,9,6.931
1972,10,6.889
1972,11,6.905
1972,12,6.910
1973,1,6.944
1973,2,6.926
1973,3,6.911
1973,4,6.923
1973,5,6.923
1973,6,6.951
1973,7,6.979
1973,8,6.987
1973,9,6.962
1973,10,7.084
1973,11,7.090
1973,12,7.082
1974,1,7.099
1974,2,7.047
1974,3,7.034
1974,4,7.051
1974,5,7.039
1974,6,7.063
1974,7,6.981
1974,8,7.049
1974,9,6.968
1974,10,7.081
1974,11,7.097
1974,12,7.059
1975,1,7.042
1975,2,7.045
1975,3,7.074
1975,4,7.067
1975,5,7.058
1975,6,7.072
1975,7,7.010
1975,8,7.099
1975,9,7.055
1975,10,7.120
1975,11,7.094
1975,12,7.130
1976,1,7.132
1976,2,7.135
1976,3,7.094
1976,4,7.057
1976,6,7.172
1976,7,7.130
1976,8,7.069
1976,9,7.115
1976,10,6.990
1976,11,7.044
1976,12,7.060
1977,1,7.102
1977,2,7.075
1977,3,7.074
1977,4,7.097
1977,5,7.078
1977,6,7.072
1977,7,7.120
1977,8,7.109
1977,9,7.185
1977,10,7.090
1977,11,7.074
1977,12,7.050
1978,1,7.072
1978,2,7.045
1978,3,7.084
1978,4,7.097
1978,5,7.118
1978,6,7.132
1978,7,7.120
1978,10,7.260
1978,11,7.114
1978,12,7.100
1979,1,7.092
1979,2,7.145
1979,3,7.154
1979,4,7.157
1979,5,7.288
1979,6,7.152
1979,7,7.150
1979,8,7.169
1979,10,7.170
1979,11,7.164
1979,12,7.080
1980,1,7.092
1980,2,7.065
1980,3,7.114
1980,4,7.117
1980,5,7.108
1980,6,7.072
1980,7,7.100
1980,8,7.069
1980,9,7.065
1980,10,7.040
1980,11,7.154
1980,12,7.130
1981,1,7.112
1981,2,7.115
1981,3,7.114
1981,4,7.137
1981,5,7.128
1981,6,7.182
1981,7,7.150
1981,8,7.179
1981,9,7.095
1981,10,7.100
1981,11,7.164
1981,12,7.120
1982,1,7.112
1982,2,7.115
1982,3,7.204
1982,4,7.117
1982,5,7.138
1982,6,7.162
1982,7,7.180
1982,8,7.149
1982,9,7.135
1982,10,7.090
1982,11,7.074
1982,12,7.120
1983,1,7.082
1983,2,7.125
1983,3,7.254
1983,4,7.167
1983,5,7.128
1983,6,7.132
1983,7,7.110
1983,8,7.139
1983,9,7.115
1983,10,7.110
1983,11,7.174
1983,12,7.120
1984,1,7.152
1984,2,7.165
1984,3,7.174
1984,4,7.217
1984,5,7.238
1984,6,7.122
1984,7,7.210
1984,8,7.349
1984,9,7.175
1984,10,7.240
1984,11,7.214
1984,12,7.190
1985,1,7.162
1985,2,7.205
1985,3,7.124
